Implémentation,Nombre de coeurs,Points lancés,Points par coeur,Temps d'exécution (ms),Approximation de PI,Erreur,Nombre de tests
MW Socket,1,1000000,1000000,82.0,3.142072,1.5258070127562495E-4,1
MW Socket,2,2000000,1000000,89.0,1.570317,0.5001525744575284,1
MW Socket,4,4000000,1000000,99.0,0.7853915,0.7500021210252833,1
MW Socket,8,8000000,1000000,113.0,0.39264225,0.8750180900915524,1
MW Socket,16,16000000,1000000,130.0,0.19631709375,0.937510328232505,1
MW Socket,1,10000000,10000000,565.0,3.1419212,1.0457957043907192E-4,1
MW Socket,2,20000000,10000000,585.0,1.57062,0.5000561265620147,1
MW Socket,4,40000000,10000000,637.0,0.78538065,0.7500055746875485,1
MW Socket,8,80000000,10000000,691.0,0.39271431875,0.8749951498959426,1
MW Socket,16,160000000,10000000,775.0,0.19635998125,0.9374966767172612,1
MW Socket,1,100000000,100000000,3822.0,3.14168248,2.8592634409269262E-5,1
MW Socket,2,200000000,100000000,3868.0,1.57081145,0.49999518613430477,1
MW Socket,4,400000000,100000000,3992.0,0.7853844275,0.7500043722719534,1
MW Socket,8,800000000,100000000,4239.0,0.392698864375,0.8750000691762898,1
MW Socket,16,1600000000,100000000,5063.0,0.19635102828125,0.937499526535725,1
